Line,RECS,UsedAlt_m,GHead_deg,Lat_deg,Lon_deg,Galt_m,Gtm_sec,mereni
900,402,125,211,49.311943,15.980162,684.40,24636,1217.71
900,403,124,211,49.311470,15.979719,683.90,24637,1378.70
900,404,124,211,49.310998,15.979276,683.70,24638,1268.23
900,405,127,212,49.310525,15.978831,683.10,24639,1258.93
900,406,129,212,49.310053,15.978381,681.90,24640,1272.53
900,407,131,212,49.309580,15.977929,681.00,24641,1338.44
900,408,131,212,49.309103,15.977477,681.60,24642,1320.90
900,409,133,212,49.308628,15.977022,680.50,24643,1270.90
900,410,135,212,49.308150,15.976567,678.80,24644,1254.93
900,411,140,212,49.307672,15.976109,676.70,24645,1340.80
900,412,144,212,49.307193,15.975651,674.80,24646,1473.82
900,413,146,212,49.306710,15.975197,672.70,24647,1451.97
900,414,147,212,49.306220,15.974761,669.60,24648,1381.46
900,415,148,212,49.305722,15.974342,666.90,24649,1460.63
900,416,147,211,49.305215,15.973946,663.90,24650,1353.97
900,417,145,210,49.304700,15.973567,661.00,24651,1459.41
900,418,144,209,49.304180,15.973206,658.40,24652,1422.87
900,419,144,208,49.303655,15.972862,656.60,24653,1417.53
900,420,144,206,49.303125,15.972536,654.80,24654,1461.65
900,421,145,205,49.302590,15.972224,653.30,24655,1381.77
900,422,145,204,49.302055,15.971927,652.60,24656,1503.99
900,423,146,202,49.301516,15.971641,652.80,24657,1463.40
900,424,147,201,49.300978,15.971369,653.40,24658,1486.19
900,425,147,200,49.300435,15.971112,653.50,24659,1479.17
900,426,148,200,49.299892,15.970871,654.10,24660,1510.16
900,427,150,199,49.299350,15.970632,655.20,24661,1470.97
900,428,153,198,49.298812,15.970396,656.80,24662,1516.66
900,429,156,197,49.298273,15.970156,657.80,24663,1487.34
900,430,157,197,49.297738,15.969909,658.60,24664,1534.25
900,431,159,197,49.297202,15.969662,658.60,24665,1447.46
900,432,161,197,49.296663,15.969421,658.40,24666,1535.02
900,433,163,197,49.296125,15.969179,658.50,24667,1610.01
900,434,165,197,49.295585,15.968934,658.50,24668,1645.73
900,435,166,197,49.295045,15.968694,657.50,24669,1483.54
900,436,168,197,49.294503,15.968456,656.00,24670,1542.30
900,437,169,197,49.293960,15.968219,655.00,24671,1618.46
900,438,169,197,49.293418,15.967984,654.20,24672,1549.80
900,439,168,197,49.292876,15.967752,653.60,24673,1615.55
900,440,168,196,49.292337,15.967521,653.60,24674,1682.81
900,441,167,196,49.291795,15.967289,653.30,24675,1598.57
900,442,168,196,49.291253,15.967064,652.60,24676,1587.20
900,443,171,196,49.290712,15.966841,651.50,24677,1551.95
900,444,172,196,49.290168,15.966622,650.50,24678,1625.73
900,445,174,196,49.289622,15.966409,649.60,24679,1735.03
900,446,173,195,49.289075,15.966204,649.00,24680,1774.81
900,447,170,195,49.288528,15.965999,648.30,24681,1758.64
900,448,168,195,49.287982,15.965794,646.70,24682,1797.03
900,449,163,195,49.287433,15.965597,644.70,24683,1643.07
900,450,159,194,49.286883,15.965404,642.70,24684,1601.41
900,451,155,194,49.286335,15.965209,641.00,24685,1459.81
900,452,151,194,49.285787,15.965012,639.10,24686,1547.33
900,453,150,194,49.285237,15.964814,637.20,24687,1458.43
900,454,149,194,49.284688,15.964619,635.40,24688,1436.31
900,455,149,194,49.284140,15.964422,633.90,24689,1456.53
900,456,149,194,49.283588,15.964229,632.20,24690,1425.26
900,457,149,194,49.283037,15.964037,630.20,24691,1383.61
900,458,148,194,49.282483,15.963845,628.20,24692,1422.54
900,459,146,193,49.281930,15.963655,626.30,24693,1431.64
900,460,150,193,49.281377,15.963464,625.00,24694,1459.37
900,461,153,193,49.280823,15.963272,624.00,24695,1438.13
900,462,159,193,49.280272,15.963087,623.40,24696,1597.38
900,463,162,193,49.279722,15.962905,623.60,24697,1498.80
900,464,165,193,49.279178,15.962724,625.20,24698,1592.38
900,465,165,193,49.278640,15.962544,627.80,24699,1487.29
900,466,165,193,49.278110,15.962371,631.60,24700,1508.53
900,467,164,193,49.277592,15.962199,636.60,24701,1562.78
900,468,162,193,49.277082,15.962032,642.50,24702,1508.26
900,469,162,193,49.276580,15.961874,648.90,24703,1456.66
900,470,163,193,49.276088,15.961721,655.30,24704,1522.72
900,471,168,192,49.275607,15.961567,662.30,24705,1655.72
900,472,179,192,49.275133,15.961419,669.50,24706,1754.98
900,473,193,192,49.274668,15.961274,676.90,24707,1880.18
900,474,206,192,49.274215,15.961134,684.80,24708,2197.70
900,475,212,192,49.273768,15.960997,692.60,24709,2156.34
900,476,224,192,49.273330,15.960866,699.80,24710,2294.53
900,477,230,192,49.272902,15.960739,707.20,24711,2347.91
900,478,232,192,49.272480,15.960614,714.60,24712,2474.27
900,479,232,192,49.272065,15.960492,721.90,24713,2458.57
900,480,234,192,49.271656,15.960379,729.10,24714,2481.89
900,481,236,192,49.271255,15.960269,736.40,24715,2497.84
900,482,238,191,49.270857,15.960162,743.80,24716,2548.92
900,483,243,191,49.270465,15.960059,750.60,24717,2571.43
900,484,246,191,49.270077,15.959957,757.00,24718,2784.00
900,485,252,191,49.269695,15.959859,763.30,24719,2846.37
900,486,257,190,49.269315,15.959760,769.40,24720,2739.61
900,487,264,190,49.268938,15.959670,775.80,24721,3144.63
900,488,267,190,49.268565,15.959586,782.10,24722,3083.18
900,489,273,190,49.268192,15.959512,787.70,24723,3344.97
900,490,280,190,49.267818,15.959459,792.90,24724,3263.97
900,491,286,188,49.267445,15.959427,797.80,24725,3420.11
900,492,292,187,49.267070,15.959422,802.30,24726,3564.96
900,493,294,185,49.266695,15.959444,806.60,24727,3476.81
900,494,301,183,49.266317,15.959499,811.20,24728,3755.54
900,495,306,181,49.265940,15.959582,814.00,24729,4001.90
900,496,309,178,49.265562,15.959689,816.90,24730,3966.19
900,497,310,175,49.265183,15.959816,819.90,24731,3968.91
900,498,312,173,49.264805,15.959959,822.80,24732,4104.37
900,499,312,171,49.264426,15.960112,826.10,24733,3894.70
900,500,314,169,49.264048,15.960272,829.50,24734,4115.84
900,501,314,167,49.263670,15.960436,833.00,24735,4055.72
900,502,315,166,49.263292,15.960597,836.90,24736,3993.98
900,503,317,166,49.262913,15.960762,840.80,24737,4342.95
900,504,319,165,49.262535,15.960931,844.90,24738,3916.24
900,505,323,165,49.262158,15.961102,848.90,24739,4174.66
900,506,326,165,49.261780,15.961279,852.80,24740,4297.05
900,507,332,165,49.261401,15.961462,856.50,24741,4532.22
900,508,338,164,49.261023,15.961647,859.80,24742,4791.50
900,509,343,164,49.260641,15.961832,863.30,24743,4621.31
900,510,345,163,49.260260,15.962019,866.60,24744,4869.02
900,511,348,163,49.259877,15.962207,869.90,24745,5086.43
900,512,351,163,49.259492,15.962397,873.00,24746,5125.53
900,513,353,163,49.259107,15.962594,876.30,24747,5656.06
900,514,356,163,49.258722,15.962792,879.40,24748,5511.38
900,515,357,163,49.258333,15.962994,882.40,24749,5426.88
900,516,359,163,49.257947,15.963201,885.50,24750,5212.27
900,517,361,162,49.257557,15.963407,888.60,24751,5529.26
900,518,363,162,49.257167,15.963616,891.70,24752,5391.71
900,519,364,162,49.256775,15.963826,894.70,24753,5528.28
900,520,364,162,49.256380,15.964037,897.50,24754,5389.29
900,521,348,161,49.255983,15.964251,899.90,24755,5269.98
900,522,334,162,49.255583,15.964466,901.50,24756,4490.97
900,523,337,161,49.255178,15.964687,903.10,24757,4398.59
900,524,326,162,49.254768,15.964907,904.10,24758,4254.83
900,525,332,161,49.254355,15.965129,905.30,24759,4454.78
900,526,325,161,49.253938,15.965345,906.40,24760,4302.05
900,527,325,162,49.253518,15.965562,907.60,24761,4347.43
900,528,325,162,49.253095,15.965782,909.10,24762,4087.41
900,529,327,162,49.252670,15.966004,910.70,24763,4404.46
900,530,331,162,49.252240,15.966226,912.20,24764,4059.58
900,531,328,162,49.251808,15.966447,913.50,24765,4095.21
900,532,325,162,49.251375,15.966671,914.80,24766,4183.80
900,533,332,162,49.250938,15.966892,916.10,24767,4257.75
900,534,329,162,49.250498,15.967114,917.30,24768,4100.72
900,535,328,162,49.250055,15.967336,918.30,24769,4296.70
900,536,329,162,49.249608,15.967554,918.80,24770,4381.99
900,537,331,163,49.249158,15.967766,919.10,24771,4492.87
900,538,330,163,49.248705,15.967971,919.70,24772,4156.52
900,539,329,163,49.248250,15.968165,920.20,24773,3939.85
900,540,328,164,49.247790,15.968356,920.80,24774,4149.89
900,541,338,164,49.247328,15.968539,921.10,24775,4321.66
900,542,334,165,49.246863,15.968721,921.50,24776,4578.84
900,543,332,166,49.246397,15.968897,921.60,24777,4110.02
900,544,333,166,49.245927,15.969071,921.50,24778,4524.17
900,545,339,167,49.245455,15.969239,920.30,24779,4689.12
900,546,334,167,49.244980,15.969401,919.40,24780,4413.94
900,547,332,167,49.244505,15.969557,917.90,24781,4412.57
900,548,325,168,49.244030,15.969709,916.60,24782,4045.04
900,549,322,168,49.243553,15.969856,915.50,24783,3870.66
900,550,319,169,49.243077,15.969999,914.80,24784,4145.03
900,551,315,169,49.242598,15.970141,914.20,24785,3838.43
900,552,314,169,49.242122,15.970279,913.30,24786,3721.89
900,553,316,170,49.241642,15.970411,912.50,24787,3983.70
900,554,317,170,49.241163,15.970539,911.70,24788,3935.72
900,555,319,170,49.240682,15.970662,910.70,24789,3848.50
900,556,317,170,49.240200,15.970781,910.00,24790,4089.90
900,557,316,171,49.239717,15.970892,909.30,24791,3977.74
900,558,321,171,49.239235,15.971002,909.00,24792,3821.85
900,559,320,172,49.238752,15.971106,908.40,24793,4076.24
900,560,322,172,49.238268,15.971206,908.50,24794,3983.97
900,561,323,172,49.237786,15.971301,908.60,24795,4167.47
900,562,322,173,49.237305,15.971392,908.60,24796,3905.04
900,563,323,173,49.236825,15.971482,908.60,24797,4230.33
