RECS,Line,DTsc_sec,UsedAlt_m,GHead_deg,Lat_deg,Lon_deg,Galt_m,Gtm_sec,Epoch_sec,ALTsp_m,mereni
49,370,1862,214,310,50.014597,12.671481,1047.50,26403,1334820003,214.76,1029.48
50,370,1863,223,311,50.014899,12.671087,1043.80,26404,1334820004,223.54,1031.75
51,370,1864,234,313,50.015224,12.670734,1039.70,26405,1334820005,234.98,1122.62
52,370,1865,240,316,50.015566,12.670417,1034.90,26406,1334820006,240.17,1270.78
53,370,1866,247,320,50.015926,12.670137,1030.70,26407,1334820007,247.67,1238.28
54,370,1867,251,325,50.016301,12.669899,1026.40,26408,1334820008,251.46,1288.32
55,370,1868,249,329,50.016691,12.669714,1022.50,26409,1334820009,249.08,1527.06
56,370,1869,240,333,50.017089,12.669586,1018.60,26410,1334820010,240.17,1526.75
57,370,1870,232,338,50.017498,12.669511,1015.20,26411,1334820011,232.72,1383.69
58,370,1871,215,343,50.017906,12.669479,1011.50,26412,1334820012,215.93,1322.62
59,370,1872,197,348,50.018316,12.669489,1007.40,26413,1334820013,197.62,1438.24
60,370,1873,180,353,50.018728,12.669536,1003.40,26414,1334820014,180.87,1167.93
61,370,1874,172,357,50.019138,12.669612,999.30,26415,1334820015,172.09,1124.58
62,370,1875,157,1,50.019546,12.669711,995.10,26416,1334820016,157.14,1046.06
63,370,1876,144,4,50.019956,12.669819,991.30,26417,1334820017,144.18,982.89
64,370,1877,132,7,50.020371,12.669932,987.80,26418,1334820018,132.31,986.95
65,370,1878,123,8,50.020783,12.670051,984.80,26419,1334820019,123.52,930.80
66,370,1879,120,9,50.021198,12.670181,982.10,26420,1334820020,120.32,812.91
67,370,1880,115,10,50.021608,12.670326,979.90,26421,1334820021,115.21,824.92
68,370,1881,113,11,50.022018,12.670486,978.40,26422,1334820022,113.10,776.37
69,370,1882,110,12,50.022423,12.670656,976.80,26423,1334820023,110.13,708.55
70,370,1883,109,13,50.022824,12.670841,975.90,26424,1334820024,109.08,781.68
71,370,1884,104,14,50.023224,12.671027,974.90,26425,1334820025,104.63,743.64
72,370,1885,98,16,50.023626,12.671196,973.50,26426,1334820026,98.81,685.05
73,370,1886,92,16,50.024021,12.671345,972.60,26427,1334820027,92.64,695.03
74,370,1887,86,16,50.024411,12.671456,971.80,26428,1334820028,86.75,714.18
75,370,1888,82,15,50.024831,12.671512,974.20,26429,1334820029,82.65,677.54
76,370,1889,74,13,50.025239,12.671511,975.20,26430,1334820030,74.53,656.61
77,370,1890,69,9,50.025643,12.671416,977.70,26431,1334820031,69.10,624.67
78,370,1891,67,4,50.026029,12.671252,978.10,26432,1334820032,67.23,676.78
79,370,1892,65,358,50.026399,12.671026,977.50,26433,1334820033,65.67,693.41
80,370,1893,63,351,50.026749,12.670749,976.60,26434,1334820034,63.52,714.63
81,370,1894,58,345,50.027083,12.670437,975.90,26435,1334820035,58.23,720.05
82,370,1895,53,339,50.027398,12.670091,975.00,26436,1334820036,53.17,651.93
83,370,1896,52,334,50.027694,12.669714,973.70,26437,1334820037,52.04,598.07
84,370,1897,53,329,50.027974,12.669311,972.00,26438,1334820038,53.25,624.32
85,370,1898,56,324,50.028229,12.668876,970.30,26439,1334820039,56.67,574.55
86,370,1899,61,320,50.028452,12.668407,968.80,26440,1334820040,61.88,583.17
87,370,1900,68,316,50.028649,12.667912,967.30,26441,1334820041,68.13,555.73
88,370,1901,71,311,50.028821,12.667401,965.70,26442,1334820042,71.33,536.03
89,370,1902,78,306,50.028979,12.666879,963.20,26443,1334820043,78.28,592.69
90,370,1903,87,302,50.029119,12.666347,960.90,26444,1334820044,87.65,598.69
91,370,1904,97,298,50.029253,12.665807,957.50,26445,1334820045,97.25,609.52
92,370,1905,104,295,50.029376,12.665257,954.10,26446,1334820046,104.16,662.96
93,370,1906,106,293,50.029504,12.664709,951.00,26447,1334820047,106.42,638.17
94,370,1907,112,291,50.029628,12.664151,946.60,26448,1334820048,112.67,695.79
95,370,1908,118,290,50.029756,12.663589,942.60,26449,1334820049,118.02,688.28
96,370,1909,125,289,50.029891,12.663024,938.40,26450,1334820050,125.98,648.81
97,370,1910,130,289,50.030039,12.662462,933.60,26451,1334820051,130.08,692.61
98,370,1911,138,290,50.030196,12.661902,928.50,26452,1334820052,138.71,746.78
99,370,1912,145,291,50.030363,12.661344,922.10,26453,1334820053,145.42,793.83
100,370,1913,149,292,50.030548,12.660794,916.70,26454,1334820054,149.09,842.84
101,370,1914,150,293,50.030748,12.660251,911.80,26455,1334820055,150.19,866.33
102,370,1915,148,295,50.030964,12.659716,906.80,26456,1334820056,148.47,887.29
103,370,1916,143,297,50.031198,12.659194,901.80,26457,1334820057,143.78,866.91
104,370,1917,139,299,50.031441,12.658679,897.00,26458,1334820058,139.02,841.72
105,370,1918,136,302,50.031691,12.658167,891.90,26459,1334820059,136.64,850.63
106,370,1919,136,304,50.031951,12.657662,887.20,26460,1334820060,136.48,741.88
107,370,1920,139,305,50.032221,12.657166,882.70,26461,1334820061,139.92,812.92
108,370,1921,148,307,50.032498,12.656677,879.30,26462,1334820062,148.20,730.71
109,370,1922,162,308,50.032781,12.656196,876.30,26463,1334820063,162.64,826.98
110,370,1923,179,309,50.033066,12.655722,872.90,26464,1334820064,179.82,921.62
111,370,1924,186,311,50.033357,12.655259,869.60,26465,1334820065,186.07,1030.51
112,370,1925,195,312,50.033651,12.654809,866.90,26466,1334820066,195.16,1151.62
113,370,1926,199,313,50.033943,12.654359,864.90,26467,1334820067,199.03,1210.70
114,370,1927,200,314,50.034224,12.653904,863.20,26468,1334820068,200.08,1182.32
115,370,1928,197,314,50.034501,12.653449,862.00,26469,1334820069,197.19,1215.89
116,380,1929,184,314,50.034773,12.652999,860.80,26470,1334820070,184.46,1146.20
117,390,1930,164,313,50.035039,12.652551,859.80,26471,1334820071,164.94,1139.47
