line,recs,set,old_Line,old_RECS,UsedAlt_m,Ghead_deg,Lat_deg,Lon_deg,Galt_m,Gtm_sec,Epoch_sec,mereni
360,0,1,360,0,132,212,50.72434700,15.60908100,483.90,28080,1434527280,106.83
360,1,1,360,1,132,210,50.72406600,15.60883900,483.80,28081,1434527281,206.69
360,2,1,360,2,131,210,50.72377900,15.60861100,483.20,28082,1434527282,251.00
360,3,1,360,3,130,208,50.72348500,15.60839900,481.70,28083,1434527283,304.92
360,4,1,360,4,129,206,50.72318300,15.60820700,479.90,28084,1434527284,317.57
360,5,1,360,5,129,203,50.72287500,15.60804300,478.00,28085,1434527285,313.23
360,6,1,360,6,128,200,50.72256000,15.60790700,476.10,28086,1434527286,316.72
360,7,1,360,7,127,197,50.72224100,15.60780100,474.20,28087,1434527287,86.47
360,8,1,360,8,125,194,50.72191900,15.60772000,472.40,28088,1434527288,116.54
360,9,1,360,9,124,190,50.72159500,15.60766500,470.60,28089,1434527289,200.61
360,10,1,360,10,124,187,50.72127000,15.60763200,468.90,28090,1434527290,137.00
360,11,1,360,11,123,185,50.72094700,15.60761500,467.10,28091,1434527291,52.10
360,12,1,360,12,122,183,50.72062400,15.60760900,465.50,28092,1434527292,258.04
360,13,1,360,13,121,181,50.72030400,15.60761100,464.10,28093,1434527293,315.39
360,14,1,360,14,120,180,50.71998400,15.60762300,462.80,28094,1434527294,182.85
360,15,1,360,15,119,179,50.71966500,15.60764100,461.60,28095,1434527295,253.03
360,16,1,360,16,118,178,50.71934800,15.60765500,460.20,28096,1434527296,343.51
360,17,1,360,17,118,178,50.71903000,15.60766000,458.90,28097,1434527297,225.30
360,18,1,360,18,117,180,50.71871300,15.60765700,457.80,28098,1434527298,187.59
360,19,1,360,19,117,180,50.71839600,15.60764900,456.90,28099,1434527299,363.96
360,20,1,360,20,115,181,50.71808000,15.60763300,456.10,28100,1434527300,221.50
360,21,1,360,21,113,181,50.71776300,15.60760900,455.30,28101,1434527301,156.24
360,22,1,360,22,110,182,50.71744700,15.60757200,454.60,28102,1434527302,108.64
360,23,1,360,23,109,183,50.71713100,15.60752600,454.40,28103,1434527303,241.39
360,24,1,360,24,108,185,50.71681400,15.60746900,454.10,28104,1434527304,138.75
360,25,1,360,25,108,186,50.71649700,15.60740300,453.30,28105,1434527305,245.06
360,26,1,360,26,107,187,50.71617800,15.60732900,451.70,28106,1434527306,270.86
360,27,1,360,27,108,188,50.71585800,15.60724400,449.60,28107,1434527307,168.57
360,28,1,360,28,108,189,50.71553900,15.60714700,447.50,28108,1434527308,120.34
360,29,1,360,29,109,190,50.71522200,15.60703700,445.40,28109,1434527309,16.84
360,30,1,360,30,109,191,50.71490600,15.60691100,443.40,28110,1434527310,45.94
360,31,1,360,31,108,193,50.71459200,15.60677200,441.10,28111,1434527311,362.23
360,32,1,360,32,108,195,50.71427700,15.60662600,438.80,28112,1434527312,106.65
360,33,1,360,33,107,196,50.71396300,15.60647400,436.50,28113,1434527313,96.17
360,34,1,360,34,105,197,50.71364700,15.60631800,434.30,28114,1434527314,53.22
360,35,1,360,35,105,197,50.71333000,15.60616100,431.70,28115,1434527315,51.96
360,36,1,360,36,105,197,50.71301100,15.60600700,429.50,28116,1434527316,120.97
360,37,1,360,37,104,197,50.71268700,15.60586800,427.70,28117,1434527317,149.26
360,38,1,360,38,103,196,50.71235900,15.60574100,426.20,28118,1434527318,82.29
360,39,1,360,39,102,194,50.71202700,15.60562800,424.90,28119,1434527319,340.17
360,40,1,360,40,100,193,50.71169000,15.60554000,423.90,28120,1434527320,219.69
360,41,1,360,41,100,191,50.71134900,15.60547900,422.80,28121,1434527321,10.66
360,42,1,360,42,98,188,50.71100600,15.60543200,421.30,28122,1434527322,309.21
360,43,1,360,43,97,185,50.71066200,15.60539300,419.30,28123,1434527323,389.75
360,44,1,360,44,96,185,50.71031800,15.60536800,417.50,28124,1434527324,312.97
360,45,1,360,45,96,183,50.70997500,15.60536200,416.20,28125,1434527325,302.77
360,46,1,360,46,95,181,50.70963100,15.60537000,415.40,28126,1434527326,224.88
